x,text,artist,song,year,album
11,"हे...
अाकाशलाई छुने, संसारलाई ढाक्ने,
विशाल तिम्रो डाल


हे...
उडेको बादलले, छोपेको तिम्रो मुहार,
लजाउने तिम्रो चाल
हजारौँ छ तिम्रो रुप, मननै नमेटिने,
जति हेरेपनि
राखेछौ अँगालोमा लिएर, साथमै तिमीले,
हामीलाई जुनि जुनि

Home, home calling home
Home, home calling home

हे...
लिएर के जानुछ, सबै मोह मायामा यहाँ अल्जेछ
चाहिने हामिलाई कति हो,
संगै संगै मिलि जुल्न लेखेकै हाम्रो छ

नबुझ्नेले नबुझेपछि,
त्यो मेरो भन्दै भए सबै बर्बाद
याद अाउँछ तिम्रो याद,
अब त यस्तै छ मेरो हाल,
मै माया भन्दै अाउँदैछ तिम्रो याद

(ॐ मानी पाद्मे हुम)
Home, home calling home
(ॐ मानी पाद्मे हुम)
Home, home calling home
(ॐ मानी पाद्मे हुम)
Home, home calling home,
(ॐ मानी पाद्मे हुम)
Home, home calling home
(ॐ मानी पाद्मे हुम)",बिपुल छेत्री,माउंटेन हाई,2014,स्केत्चेस अफ दार्जीलिङ
12,"डढेलो लाग्यो त्यो पारी डाँडा साँझतिर
लौ है फेरी मनमा मेरो लाग्यो पीर
बतासमा फैलियो आगो सररर
यादहरू तिम्रो फर्केर आयो झललल

बुझाईदेऊ न जलीराने यो मन
पक्डिदेउ न उडीराने यो मन
बुझाईदेऊ न जलीराने यो मन
पक्डिदेउ न उडीराने यो मन

चारैतिर अँध्यारो नै, अँध्यारो नै छ
आजसम्म सपनाहरु अधुरो नै छ
कसरी बुझाऊँ यो नबुझ्ने रहरहरु
दिन र रातझैँ कहिल्यै नमिल्ने सपनाहरु

बुझाईदेऊ न जलीराने यो मन
पक्डिदेउ न उडीराने यो मन",बिपुल छेत्री,विल्द्फिरे,2014,स्केत्चेस अफ दार्जीलिङ
13,"पानी पर्यो सरर, छाना बज्यो गरर
मनमा उठ्यो आज मेरो आनन्दको लहर
हिजोको विपना, आज भएछ सपना


ए कान्छी, कति चाँडै बितेको यो जीवन
पानी पर्यो सरर, भिज्यो कालेबुङ सहर
कालो कालो बादल चढि फर्की आयो असार, ल है

जिन्दगी कहिले घाम कहिले पानी, लै बरी लै
माया नै सबै भन्दा ठुलो कुरो रैछ नि है
चारैतिर निला निला आकाश नै छायो है
वरिपरि लागेको यो कुहिरो हरायो है
मनलाई साँचो राखी हिँडिरहेछु
म तिम्रो साहारामै बाँचिरहेछु, मायालु

पानी पर्याे सरर, छाेडा बग्याे गरर
फर्कि अाए तिम्रै तिर छाडी सारा संसार
हिजोको विपना, अाज भएछ सपना
ए कान्छी, कति चाँडै बितेकाे याे जीवन
पानी पर्याे सरर, भिज्याे कालेबुङ सहर
कालाे कालाे बादल चडि फर्कि अायाे असार

लै बरि लै बरि लै बरि लै, अाे नानी
लै बरि लै बरि लै
लै बरि लै बरि लै बरि लै, अाे नानी
लै बरि लै बरि लै
लै बरि लै बरि लै बरि लै, अाे नानी
लै बरि लै बरि लै
लै बरि लै बरि लै बरि लै, अाे नानी
लै बरि लै बरि लै
लै बरि लै बरि लै बरि लै, अाे नानी
लै बरि लै बरि लै",बिपुल छेत्री,असार,2014,स्केत्चेस अफ दार्जीलिङ
14,"देउराली डाँडाको शीतल हावामा
सारा जंगलनै नाच्यो है
तिमी बिनाको जीन्दगानी


म कसरी नै त काटुँ है

रेलमा चढी म जानेछु टाढा
छाडी यो सबै यो संसार
अाउने दिनको अाशा राखि
म अघि बढेछु त्यो पारि
जीउन फेरि मन लाग्यो
अा हा हा
अा हा हा

जति हिँडे उति टाढा लाग्छ पुग्न त्यहाँ
हेर न दिन ढलिसक्यो
तिम्रै कल्पनाको समुन्द्रमा डुबिरहने
कस्तो यो मनको खाँचो
अब त पुग्ने छ मेरो यो इच्छा
अब त पाउनेछु गरेको प्रतिक्षा
माया

दुनियाको यो मोह मायामा
मलाई धेरै नअल्झाउ है
एउटै भएको जीन्दगानी
म जसरी नै त काटुँ है
रेलमा चढी म जानेछु टाढा
छाडी यो सबै यो घर-बार
तिमीलाई पाउने अाशा राखि
म अघि बढेछु त्यो पारि
जीउन फेरि मन लाग्यो
अा हा हा
अा हा हा

लाग्यो जीउन मन अब
अा हा हा
अा हा हा",बिपुल छेत्री,देउराली डाँडा,2014,स्केत्चेस अफ दार्जीलिङ
15,"राम साइली, म त यौवनको पिरले
गम खाए यसै खोला किनारैमा
राम साइली, म त यौवनको पिरले


गम खाए यसै खोला किनारैमा

ढलपल गर्छन बादल माथी बादलकी रानी
नबिर्सने तिमीलाई टाढा भए पनि
टाढा भए पनि
टाढा भए पनि

राम साइली, म त यौवनको पिरले
गम खाए यसै खोला किनारैमा

चिसो चिसो हावा बग्यो मुटु नै भिज्ने
यसरी नै हो कि मेरो जिन्दगी बित्ने
राम साइली, म त जिन्दगीको खोजमा
गम खाए यसै बिरानो शहरमा

ढलपल गर्छन बादल माथी बादलकी रानी
नबिर्सने तिमीलाई टाढा भए पनि
टाढा भए पनि
टाढा भए पनि

राम साइली, म त यौवनको पिरले
गम खाए यसै खोला किनारैमा
खोला कीनारैमा
खोला कीनारैमा",बिपुल छेत्री,राम साइली,2014,स्केत्चेस अफ दार्जीलिङ
16,"दार्जिलिङको रेल गाडी,
छुक छुक गर्दै अघि बढी
बूढापाखा, यौवन


सबैलाई समेटी हिँडी
बितीसके कति जीवन
आयो फर्कि कति
अघि बढेछौ है तिमी
रूक्ने न कहिल्यै पनि
संसार म छाडी आएँ
तिमी जस्तै हैन, अर्को है

बतासे डाँडा काटेर,
आयो है फेरी फर्केर
इंजिन धुँवा उडाई
कु कु गरी सिटी बजाई
संसारको भीड़मा आज भागेछु म आज
तिम्रो र मेरो माझ पुरानो यो बन्धन अझ
लैजाऊ मलाई तिमीसँग
जिउन यहाँ गार्हो भयो है
कु कु
कु कु
कु कु
आ हा हा

दुई दिनको जिन्दगानी
मर्नेछौं है सबै हामी
जिउनेछु म माया नमारी
आ हा
मनभरी माया बोकी
समझन्छु म घरी घरी
गर्न अझ कति धेरै

तर टाढा त जानु छ मलाई
संसार जित्नु छ मलाई
नसक्ने केहिँ नरैछन् है
हो हो
तिम्रो साथ भएदेखि
तिम्ले हात थामेदेखि
संसार म जीतीदिन्छु
आकाश म चुमिदिन्छु

हरियाली हरियाली चारैतिर हरियाली
जतातिर हेर
भरिएको चीयाबारी
उकाली र ओराली गर्दै आयो डाँडा काटी
कहिल्ये काहीँ तिमी सम्झी याद आउछ बेस्सरी
हिँडेछु त्यो पारी चढेर म रेल गाडी

रेल गाडी रेल गाडी चढेर है जानेछु म
रेल गाडी रेल गाडी
रेल गाडी रेल गाडी चढेर है जानेछु म
रेल गाडी रेल गाडी
रेल गाडी रेल गाडी रेल गाडी
आ हा हा",बिपुल छेत्री,रेल गाडी,2014,स्केत्चेस अफ दार्जीलिङ
17,"केटी:
मनको हुन्न केही भर, हैन र ?
केटा:
मायामा हुन्न केही डर, हैन र ?
केटी:
यो मनलाई त्यो मन को खबर, छैन र ?
केटा:
मायामा बग्दै जाने रहर, छैन र ?
रातले जुनलाई चाहे जस्तो, दिनले घामलाई पाए जस्तो
केटा केटी:
अजम्बरी लाउँला पिरती…हो,अजम्बरी लाउँला पिरती
केटी:
लुकामारी खेल्छ किन, घाम र जुन ?
केटा:
अनि पो हुन्छ रात र दिन
आफ्नै आकाश आफ्नै धर्ती, अनि हाम्रो आफ्नै होला साँझ बिहान
केटी:
खै के ले खै के ले खान्छ, नि खै के ले खान्छ
नि कुटु कुटु मन मेरो किन?
कैले तितो कैले मिठो, यस्तो कथा रैछ माया मुटुको सुन
केटा:
घामपानीले मायालाई छुन्छ र ?
केटी:
हो.. माया को रंग मधुरो हुन्छ र ?
यो मनलाई त्यो मनको खबर, छैन र ?
केटा:
मायामा बग्दै जाने रहर, छैन र ?
किनाराले नदीलाई डोर्याए जस्तो, नदीले सागर पाए जस्तो
केटा केटी:
अजम्बरी लाउँला पिरती… हो, अजम्बरी लाउँला पिरती
	
","काली प्रसाद बास्कोटा, मेलिना राई, सबिन  एकतारे",अजम्बरी लाउँला पिरती,2017,ज्ञान्ग्स्टर ब्लुस 
18,"""केटी:
हे दाजु नसमाऊ नाडीमा, जान्न म त डिजेलको गाडीमा
हिलो लाग्ला नाइलनको साडीमा, हिलो लाग्ला नाइलनको साडीमा
केटा:
हे सानु समाऊ न नाडीमा, घुम्न जाऊ डिजेलको गाडीमा
हिलो लाग्ला नाइलनको साडीमा, हिलो लाग्ला नाइलनको साडीमा
बाइस वर्ष लागिसक्या फिलै नहुने, मैंयाहरु कति भेटे दिलै नहुने
हे बाइस वर्ष लागिसक्या फिलै नहुने, मैंयाहरु कति भेटे दिलै नहुने
ट्यालेन्ट स्यालेन्ट केही नचाहिने, सपना सलमान खानको
केटाहरुलाई झुलाएर ड्रिम समवनको, म पनि भिनाजुको सिंगल सालो
गोरो गोरो कति खोज्छौ, यता ह्यान्डसम कालो
हे सानु समाऊ न नाडीमा, घुम्न जाऊ डिजेलको गाडीमा
हिलो लाग्ला नाइलनको साडीमा, हिलो लाग्ला नाइलनको साडीमा
केटी:
हे दाजु नसमाऊ नाडीमा, जान्न म त डिजेलको गाडीमा
हिलो लाग्ला नाइलनको साडीमा, हिलो लाग्ला नाइलनको साडीमा
केटी नपट्टीएसम्म अनेक गफ गर्ने, मिसन पुरा भएपछि मोबाइल अफ गर्ने
हो हो हो केटी नपट्टीएसम्म अनेक गफ गर्ने, मिसन पुरा भएपछि मोबाइल अफ गर्ने
घरमा राम राम तिमी बाहिर कृष्ण जस्तो, फकाउनलाई जे नि भन्छौ कुरा कत्ति सस्तो
ड्याड ममको म पनि सिंगल छोरी, पाउनलाई गार्है पर्ला यती राम्री गोरी
केटा:
हे सानु समाऊ न नाडीमा, घुम्न जाऊ डिजेलको गाडीमा
हिलो लाग्ला नाइलनको साडीमा, हिलो लाग्ला नाइलनको साडीमा
केटी:
हे दाजु नसमाऊ नाडीमा, जान्न म त डिजेलको गाडीमा
केटा केटी:
हिलो लाग्ला नाइलनको साडीमा, हिलो लाग्ला नाइलनको साडीमा
हे हिलो लाग्ला नाइलनको साडीमा, हिलो लाग्ला नाइलनको साडीमा
""","अल्मोडा राना उप्रेती, सुजाता वर्मा दीपक राज गिरि, प्रिन्स नेपाली ",ए दाजु नसमाऊ,2017,"
छक्का पन्जा २ "
19,"                
गोदावरी
गोदावरी
गोदावरी
गोदावरी बनैमा, राख मलाई मनैमा (राख मलाई मनैमा)
गोदावरी बनैमा, राख मलाई मनैमा (राख मलाई मनैमा)
आउन माया संगै बसौं न न न
चोभारैको डाँडइमा, राख मलाई काखैमा
चोभारैको डाँडइमा, राख मलाई काखैमा
लौ न माया प्रिती साटौं न
हे आउन माया प्रिती साटौं न न न
शनिबार बिहानै हिडे फिलिम हेर्नलाई
शनिबार बिहानै हिडे फिलिम हेर्नलाई
तिमी आउने बाटो हेरी म त कुरी बसे है
तिमी आउने बाटो हेरी म त कुरी बसेहै
बाल्कुनिको कुनामा फिल्म हेर्ने धुनमा
बाल्कुनिको कुनामा फिल्म हेर्ने धुनमा
अँध्यारोमा छाम्मछुम्म तिम्लाई माया गरे है
अँध्यारोमा छाम्मछुम्म तिम्लाई माया गरे है
सुन्दरीजल खोलामा, बुक राखी झोलामा
सुन्दरीजल खोलामा, बुक राखी झोलामा
आउन माया पढ्नी गरौँ न न न
चन्द्रगिरि डाँडईमा, डेटिंग गाको बेलैमा
चन्द्रगिरि डाँडईमा, हो डेटिंग गाको बेलैमा
लब्ली लब्ली सेल्फी हानौं न
हे लब्ली लब्ली सेल्फी हानौं न न न
गोदावरी बनैमा, राख मलाई मनैमा (राख मलाई मनैमा)
गोदावरी बनैमा राख मलाई मनैमा
आउन माया संगै बसौ न न न
चोभारैको ड्दैमा राख मलाई काखेमा
चोभारैको ड्दैमा हो राख मलाई काखेमा
लौ न माया प्रिती साटौं न न न
आउन माया प्रिती साटौं न न न
आउन माया संगै बसौं न न
लौ न माया प्रिती साटौं न न न
",जन्म  राई ,गोदावरी बनैमा,2017,
20,"हे कान्छी एकोहोरो माया नलाएकै बेस
हे कान्छी एकोहोरो माया नलाएकै बेस
आफ्नै बाटो हुनेछ, पाइला छुट्टै चल्नेछ
झुटो कसम नखाएकै बेस,
त्यो झुटो कसम नखाएकै बेस
धेरै नै छन् यात्रा गर्नु, काँडामाथि हिड्छु भनें
पाइला पाइला उठे पनि, हजार बार लड्छु भनें
जानी जानी जिन्दगी यो व्यर्थै
हो जानी जानी जिन्दगी यो व्यर्थै
नजलाएकै बेस, नजलाएकै बेस
हे कान्छी एकोहोरो माया नलाएकै बेस
हे कान्छी एकोहोरो माया नलाएकै बेस
आफ्नै बाटो हुनेछ, पाइला छुट्टै चल्नेछ
झुटो कसम नखाएकै बेस,
त्यो झुटो कसम नखाएकै बेस
अधुरो बन्ला प्रेम कहानी, म संग माया लायौ भने
डाँडई काटी जानु पर्दा, पछि पछि धायौ भने
जानी जानी बैस किन व्यर्थै,
हो जानी जानी बैस किन व्यर्थै
नफालेको नै बेस, नफालेको नै बेस
हे कान्छी एकोहोरो माया नलाएकै बेस
हे कान्छी एकोहोरो माया नलाएकै बेस
आफ्नै बाटो हुनेछ, पाइला छुट्टै चल्नेछ
झुटो कसम नखाएकै बेस,
त्यो झुटो कसम नखाएकै बेस
त्यो झुटो कसम नखाएकै बेस
त्यो झुटो कसम नखाएकै बेस
",राजेश राई ,ए कान्छी ,2017,
