"","words","sentiments"
"307","नचिने",""
"308","यस्तै",""
"309","र",""
"310","आफ्नै",""
"311","बाटो",""
"312","जानू",""
"313","छदै",""
"314","छर",""
"315","हेरेको",""
"316","झै",""
"317","घरि",""
"318","हेरे",""
"319","घरिघरि",""
"320","हेर्छु",""
"321","आशा",""
"322","सरि",""
"323","हुउ",""
"324","सोच्दै",""
"325","रमाउद",""
"326","संगै",""
"327","भएको",""
"328","गर्छु",""
"329","दर्के",""
"330","पानी",""
"331","पर्यो",""
"332","भिजेर",""
"333","चुर",""
"334","ओत",""
"335","लागि",""
"336","आफ्नो",""
"337","गाडी",""
"338","पर्खिरहे",""
"339","भिजेछु",""
"340","ले",""
"341","सबै",""
"342","चढ्न",""
"343","थाल्यो",""
"344","कमाण्डर",""
"345","हर्न",""
"346","सुनी",""
"347","कलिम्पोङ",""
"348","टु",""
"349","भन",""
"350","निस्ठुरी",""
"351","चडेर",""
"352","गयो",""
"353","छाडी",""
"354","राख्यौ",""
"355","यतै",""
"356","काहिँ",""
"357","हुन्छ",""
"358","तरै",""
"359","एक्लै",""
"360","हिंड्नै",""
"361","परछ",""
"362","एउटै",""
"363","छोडेर",""
"364","हिंडनै",""
"365","म्म्म्म.ह्म्म्म्म.ह्म्म्म्म.ह्म्म्म्म.आहा",""
"366","म्म्म्म.ह्म्म्म्म.ह्म्म्म्म.ह्म्म्म्म.आहाहा",""
"367","नाचुँम्ला",""
"368","भन्थे",""
"369","सँधै",""
"370","दिलमा",""
"371","जिवनको",""
"372","बाटोले",""
"373","ल्यायो",""
"374","निलौ",""
"375","याहाँ",""
"376","यसरी",""
"377","बिर्सेर",""
"378","ओहो.ओहोहोहोहो",""
"379","बसुम्ला",""
"380","छेउमा",""
"381","संसारको",""
"382","रितले",""
"383","पार्यो",""
"384","तुरमा",""
"385","यसैले",""
"386","हिँडे",""
"387","आहाहाहाहाहाहा",""
"388","आकाशैमा",""
"389","जुनेली",""
"390","कलकल",""
"391","बसि",""
"392","हेरि",""
"393","जुनकिरी",""
"394","नाचेको",""
"395","आशै",""
"396","आशमा",""
"397","हिडिरहेछु",""
"398","पाउन",""
"399","भागी",""
"400","जाउँ",""
"401","रित",""
"402","छाडि",""
"403","व्यर्थको",""
"404","कुरामा",""
"405","अल्झी",""
"406","बिताउने",""
"407","पो",""
"408","उड्न",""
"409","हा",""
"410","राखी",""
"411","आ",""
"412","आजको",""
"413","फेरी",""
